time,x,y,z,vx,vy,vz
0.0,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.02,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.04,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.06,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.08,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.1,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.12,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.14,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.16,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.18,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.2,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.22,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.24,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.26,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.28,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.3,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.32,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.34,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.36,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.38,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.4,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.42,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.44,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.46,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.48,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.5,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.52,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.54,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.56,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.58,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.6,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.62,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.64,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.66,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.68,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.7,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.72,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.74,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.76,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.78,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.8,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.82,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.84,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.86,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.88,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.9,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.92,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.94,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.96,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
0.98,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.0,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.02,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.04,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.06,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.08,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.1,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.12,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.14,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.16,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.18,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.2,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.22,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.24,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.26,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.28,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.3,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.32,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.34,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.36,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.38,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.4,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.42,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.44,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.46,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.48,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.5,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.52,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.54,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.56,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.58,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.6,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.62,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.64,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.66,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.68,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.7,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
1.72,422619.73009475216,-5362844.332324543,3415528.885741856,0.0,0.0,0.0
