ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
32.587056,-85.494430,200.57350282,0.0,0.0,0.0,0.0,0.0,0.0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1
1,0.0,-0.6,0.0,0.3,0.0,0.0,2.5,1
1,10.0,-1.0,0.0,0.3,0.0,0.0,0.5,1
1,20.0,0.0,0.0,0.3,0.0,0.0,0.5,1
1,30.0,0.0,0.0,0.3,0.0,0.0,1.5,1
1,20.0,0.0,0.0,0.3,0.0,0.0,0.5,1
1,10.0,0.0,0.0,0.3,0.0,0.0,0.5,1
2,91.5,-1.9,0.0,8.0,0.0,0.0,7.0,1
1,0.0,0.5,0.0,0.0,0.0,0.0,2.0,1
1,20.0,0.2,0.0,-0.5,0.0,0.0,0.2,1
1,40.0,0.2,0.0,-0.5,0.0,0.0,0.2,1
1,65.0,0.2,0.0,-0.5,0.0,0.0,0.2,1
1,85.0,0.2,0.0,0.0,0.0,0.0,0.5,1
1,95.0,0.2,0.0,0.0,0.0,0.0,0.2,1
1,45.0,1.5,0.0,0.0,0.0,0.0,0.2,1
1,10.0,1.5,0.0,0.0,0.0,0.0,0.2,1
1,-10.0,1.5,0.0,0.0,0.0,0.0,0.5,1
1,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1
2,170.0,2.0,0.0,9.0,0.0,0.0,2.7,1
1,0.0,1.0,0.0,0.0,0.0,0.0,0.6,1
1,-20.0,0.0,0.0,0.0,0.0,0.0,1.5,1
1,-10.0,-1.0,0.0,-0.6,0.0,0.0,0.5,1
1,2.0,-5.0,0.0,-1.0,0.0,0.0,1.0,1
1,1.0,-0.5,0.0,-1.4,0.0,0.0,5.0,1
3,0.0,-1.0,0.0,-0.7,0.0,0.0,2.5,1
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
1,0.0,0.0,0.0,0.5,0.0,0.0,2.0,1
2,65.0,-0.5,0.0,8.0,0.0,0.0,8.0,1
1,7.0,-0.4,0.0,1.0,0.0,0.0,3.0,1
1,0.0,2.5,0.0,1.0,0.0,0.0,1.0,1
1,0.0,0.2,0.0,0.5,0.0,0.0,4.0,1
1,0.5,0.0,0.0,0.5,0.0,0.0,5.0,1
1,-1.2,-1.0,0.0,-0.6,0.0,0.0,3.0,1
1,1.0,0.4,0.0,-2.0,0.0,0.0,6.0,1
1,5.0,0.0,0.0,0.0,0.0,0.0,1.5,1
1,8.0,0.0,0.0,0.0,0.0,0.0,1.5,1
1,11.0,0.0,0.0,0.0,0.0,0.0,2.0,1
1,7.0,0.0,0.0,1.5,0.0,0.0,1.0,1
1,4.5,0.1,0.0,1.0,0.0,0.0,4.0,1
1,0.0,0.05,0.0,1.0,0.0,0.0,4.0,1
1,-6.0,0.0,0.0,0.5,0.0,0.0,3.0,1
4,149.0,2.0,0.0,-3.0,0.0,0.0,3.0,1
1,0.0,0.0,0.0,-2.0,0.0,0.0,4.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1
1,0.0,-0.5,0.0,0.5,0.0,0.0,0.5,1
1,0.0,-0.5,0.0,1.0,0.0,0.0,0.5,1
1,0.0,-0.5,0.0,1.5,0.0,0.0,0.5,1
1,1.0,-0.2,0.0,2.0,0.0,0.0,3.0,1
1,0.0,0.0,0.0,1.0,0.0,0.0,2.5,1
2,142.5,0.0,0.0,12.6,0.0,0.0,5.0,1
1,4.8,0.5,0.0,0.0,0.0,0.0,5.0,1
1,2.5,-0.5,0.0,0.0,0.0,0.0,5.0,1
1,1.0,-0.5,0.0,0.0,0.0,0.0,3.0,1
4,180.5,-3.2,0.0,0.0,0.0,0.0,5.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1
1,-0.5,0.0,0.0,-0.5,0.0,0.0,5.0,1
3,2.0,0.0,0.0,-10.0,0.0,0.0,10.0,1
5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1
1,5.0,0.5,0.0,0.5,0.0,0.0,1.0,1
1,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1
1,20.0,0.5,0.0,1.5,0.0,0.0,2.0,1
1,10.0,0.0,0.0,1.0,0.0,0.0,2.0,1
2,255.0,-0.2,0.0,10.0,0.0,0.0,5.0,1
1,-0.68,-0.04,0.0,0.0,0.0,0.0,40.0,1
1,-0.28,0.3,0.0,0.1,0.0,0.0,10.0,1
1,1.5,-0.6,0.0,0.0,0.0,0.0,5.0,1
1,2.8,-0.2,0.0,-0.05,0.0,0.0,5.0,1
1,2.1,0.5,0.0,0.0,0.0,0.0,7.0,1
1,2.5,0.1,0.0,0.0,0.0,0.0,5.0,1
1,2.8,0.1,0.0,-0.05,0.0,0.0,5.0,1
1,1.6,0.1,0.0,-0.1,0.0,0.0,10.0,1
1,-2.5,0.1,0.0,-1.0,0.0,0.0,1.0,1
1,-2.0,0.1,0.0,-2.0,0.0,0.0,4.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1
1,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1
1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1,0.0,0.0,0.0,1.5,0.0,0.0,0.5,1
1,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1
2,303.0,-0.2,0.0,15.7,0.0,0.0,15.0,1
1,2.0,0.0,0.0,0.9,0.0,0.0,5.0,1
1,2.3,-0.05,0.0,0.02,0.0,0.0,9.0,1
1,2.5,-0.2,0.0,-0.2,0.0,0.0,4.0,1
2,350.5,-0.1,0.0,15.0,0.0,0.0,10.0,1
1,0.5,-0.2,0.0,-1.0,0.0,0.0,0.5,1
1,-0.7,-0.2,0.0,-1.5,0.0,0.0,2.5,1
1,0.0,-0.1,0.0,-1.0,0.0,0.0,4.0,1
1,0.0,-0.1,0.0,0.0,0.0,0.0,2.0,1
1,8.0,1.0,0.0,-1.0,0.0,0.0,2.0,1
1,13.0,0.2,0.0,-0.5,0.0,0.0,4.0,1
1,10.0,0.5,0.0,0.0,0.0,0.0,0.5,1
1,6.0,0.5,0.0,1.0,0.0,0.0,3.5,1
1,-3.3,0.0,0.0,1.0,0.0,0.0,9.0,1
4,430.0,1.0,0.0,0.0,0.0,0.0,6.0,1
1,4.0,0.1,0.0,-1.0,0.0,0.0,2.0,1
1,10.0,0.1,0.0,-1.5,0.0,0.0,2.0,1
1,15.0,0.0,0.0,-1.5,0.0,0.0,1.0,1
1,0.0,0.0,0.0,-1.5,0.0,0.0,1.0,1
1,-13.5,0.0,0.0,-1.0,0.0,0.0,2.0,1
1,-15.0,0.0,0.0,0.0,0.0,0.0,2.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,15.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1,6.0,0.0,0.0,1.5,0.0,0.0,2.0,1
1,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1
2,449.7,1.0,0.0,12.5,0.0,0.0,17.0,1
1,0.0,-0.2,0.0,0.0,0.0,0.0,3.0,1
3,0.0,0.0,0.0,-5.0,0.0,0.0,10.0,1
1,-4.0,-0.1,0.0,-0.5,0.0,0.0,3.0,1
1,4.0,0.0,0.0,-1.0,0.0,0.0,3.0,1
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
1,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1
1,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
1,-7.0,-1.0,0.0,1.0,0.0,0.0,1.0,1
1,-17.0,1.0,0.0,1.0,0.0,0.0,4.0,1
2,359.0,-1.0,0.0,9.0,0.0,0.0,13.0,1
1,5.4,0.0,0.0,0.0,0.0,0.0,10.0,1
1,-15.0,0.0,0.0,-1.0,0.0,0.0,1.0,1
1,-45.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,-25.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2,332.0,-1.0,0.0,8.0,0.0,0.0,4.0,1
1,15.0,0.1,0.0,0.0,0.0,0.0,2.0,1
1,0.0,0.2,0.0,-1.0,0.0,0.0,1.5,1
1,-30.0,0.2,0.0,0.0,0.0,0.0,1.0,1
1,-50.0,0.2,0.0,0.0,0.0,0.0,1.0,1
1,-10.0,1.0,0.0,0.0,0.0,0.0,1.0,1
3,-0.5,0.2,0.0,-1.0,0.0,0.0,10.0,1
1,30.0,0.0,0.0,0.0,0.0,0.0,2.0,1
1,20.0,0.0,0.0,0.0,0.0,0.0,1.5,1
1,0.0,0.0,0.0,-1.0,0.0,0.0,0.5,1
1,45.0,0.0,0.0,-0.5,0.0,0.0,1.0,1
1,35.0,0.0,0.0,-0.5,0.0,0.0,1.5,1
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1,45.0,0.0,0.0,-0.5,0.0,0.0,1.0,1
1,30.0,0.0,0.0,-0.5,0.0,0.0,1.0,1
2,180.0,0.0,0.0,0.0,0.0,0.0,5.5,1
1,0.0,0.0,0.0,0.0,0.0,0.0,40.793,1
